unique_id,target_arrival_time,target_end_time,target_position
5000,1570822859999999902,1570827600000000000,-4130
5015,1570822859999999902,1570827600000000000,-6492
5030,1570822859999999902,1570827600000000000,3507
5020,1570822859999999902,1570827600000000000,-49921
5035,1571065259999999991,1571067000000000000,-18964
5010,1571065259999999991,1571067000000000000,4860
5005,1571065259999999991,1571067000000000000,978
5025,1571065259999999991,1571067000000000000,-11466
5040,1571065259999999991,1571067000000000000,-6061
5000,1571065259999999991,1571067000000000000,-4116
5015,1571065259999999991,1571067000000000000,-3487
5030,1571065259999999991,1571067000000000000,-1040
5020,1571065259999999991,1571067000000000000,-53437
5035,1571071679999999980,1571077800000000000,-16481
5010,1571071679999999980,1571077800000000000,3503
5005,1571071679999999980,1571077800000000000,352
5025,1571071679999999980,1571077800000000000,-11341
5040,1571071679999999980,1571077800000000000,-6943
5000,1571071679999999980,1571077800000000000,-3611
5015,1571071679999999980,1571077800000000000,-3258
5030,1571071679999999980,1571077800000000000,-3509
5020,1571071679999999980,1571077800000000000,-52452
5035,1571081219999999903,1571086800000000000,-17328
5010,1571081219999999903,1571086800000000000,6539
5005,1571081219999999903,1571086800000000000,3346
5025,1571081219999999903,1571086800000000000,-11086
5040,1571081219999999903,1571086800000000000,-6850
5000,1571081219999999903,1571086800000000000,-3949
5015,1571081219999999903,1571086800000000000,-3324
5030,1571081219999999903,1571086800000000000,-1244
5020,1571081219999999903,1571086800000000000,-50314
5035,1571147399999999992,1571153400000000000,-13424
5010,1571147399999999992,1571153400000000000,13791
5005,1571147399999999992,1571153400000000000,5169
5025,1571147399999999992,1571153400000000000,-10645
5040,1571147399999999992,1571153400000000000,-5424
5000,1571147399999999992,1571153400000000000,-1955
5015,1571147399999999992,1571153400000000000,-2305
5030,1571147399999999992,1571153400000000000,1472
5020,1571147399999999992,1571153400000000000,-53141
5035,1571166719999999909,1571173200000000000,-10301
5010,1571166719999999909,1571173200000000000,25375
5005,1571166719999999909,1571173200000000000,3397
5025,1571166719999999909,1571173200000000000,-9115
5040,1571166719999999909,1571173200000000000,-3706
5000,1571166719999999909,1571173200000000000,-1842
5015,1571166719999999909,1571173200000000000,-8203
5030,1571166719999999909,1571173200000000000,2092
5020,1571166719999999909,1571173200000000000,-41695
5035,1571235899999999917,1571239800000000000,-12703
5010,1571235899999999917,1571239800000000000,21824
5005,1571235899999999917,1571239800000000000,3588
5025,1571235899999999917,1571239800000000000,-9120
5040,1571235899999999917,1571239800000000000,-4145
5000,1571235899999999917,1571239800000000000,-2647
5015,1571235899999999917,1571239800000000000,-9050
5030,1571235899999999917,1571239800000000000,1892
5020,1571235899999999917,1571239800000000000,-39782
5035,1571253179999999938,1571259600000000000,-2793
5010,1571253179999999938,1571259600000000000,29559
5005,1571253179999999938,1571259600000000000,6551
5025,1571253179999999938,1571259600000000000,-9945
5040,1571253179999999938,1571259600000000000,-4442
5000,1571253179999999938,1571259600000000000,2702
5015,1571253179999999938,1571259600000000000,-7577
5030,1571253179999999938,1571259600000000000,2411
5020,1571253179999999938,1571259600000000000,-35799
5035,1571320739999999992,1571326200000000000,-2631
5010,1571320739999999992,1571326200000000000,32862
5005,1571320739999999992,1571326200000000000,5265
5025,1571320739999999992,1571326200000000000,-6863
5040,1571320739999999992,1571326200000000000,-1459
5000,1571320739999999992,1571326200000000000,2283
5015,1571320739999999992,1571326200000000000,-10571
5030,1571320739999999992,1571326200000000000,8145
5020,1571320739999999992,1571326200000000000,-31612
5035,1571341319999999993,1571346000000000000,10075
5010,1571341319999999993,1571346000000000000,39032
5005,1571341319999999993,1571346000000000000,11086
5025,1571341319999999993,1571346000000000000,-3363
5040,1571341319999999993,1571346000000000000,409
5000,1571341319999999993,1571346000000000000,6969
5015,1571341319999999993,1571346000000000000,-9940
5030,1571341319999999993,1571346000000000000,7466
5020,1571341319999999993,1571346000000000000,-16832
5035,1571410499999999902,1571412600000000000,12314
5010,1571410499999999902,1571412600000000000,38980
5005,1571410499999999902,1571412600000000000,10127
5025,1571410499999999902,1571412600000000000,-4523
5040,1571410499999999902,1571412600000000000,-1138
5000,1571410499999999902,1571412600000000000,7013
5015,1571410499999999902,1571412600000000000,-9392
5030,1571410499999999902,1571412600000000000,4037
5020,1571410499999999902,1571412600000000000,-19333
5035,1571419739999999952,1571423400000000000,10012
5010,1571419739999999952,1571423400000000000,45433
5005,1571419739999999952,1571423400000000000,11478
5025,1571419739999999952,1571423400000000000,-2196
5040,1571419739999999952,1571423400000000000,-2797
5000,1571419739999999952,1571423400000000000,8578
5015,1571419739999999952,1571423400000000000,-10246
5030,1571419739999999952,1571423400000000000,3254
5020,1571419739999999952,1571423400000000000,-13171
5035,1571428259999999975,1571432400000000000,9419
5010,1571428259999999975,1571432400000000000,39241
5005,1571428259999999975,1571432400000000000,10432
5025,1571428259999999975,1571432400000000000,2386
5040,1571428259999999975,1571432400000000000,4502
5000,1571428259999999975,1571432400000000000,7471
5015,1571428259999999975,1571432400000000000,-11372
5030,1571428259999999975,1571432400000000000,11831
5020,1571428259999999975,1571432400000000000,-156
5035,1571670899999999908,1571671800000000000,8631
5010,1571670899999999908,1571671800000000000,31717
